,Country Name,Country Code,Year,Value,ioc,myCNames
2306,Afghanistan,AFG,1960.0,537777811.111111,AFG,Afghanistan
2307,Afghanistan,AFG,1961.0,548888895.5555559,AFG,Afghanistan
2308,Afghanistan,AFG,1962.0,546666677.777778,AFG,Afghanistan
2309,Afghanistan,AFG,1963.0,751111191.111111,AFG,Afghanistan
2310,Afghanistan,AFG,1964.0,800000044.4444441,AFG,Afghanistan
2311,Afghanistan,AFG,1965.0,1006666637.77778,AFG,Afghanistan
2312,Afghanistan,AFG,1966.0,1399999966.6666698,AFG,Afghanistan
2313,Afghanistan,AFG,1967.0,1673333417.77778,AFG,Afghanistan
2314,Afghanistan,AFG,1968.0,1373333366.6666698,AFG,Afghanistan
2315,Afghanistan,AFG,1969.0,1408888922.22222,AFG,Afghanistan
2316,Afghanistan,AFG,1970.0,1748886595.5555599,AFG,Afghanistan
2317,Afghanistan,AFG,1971.0,1831108971.1111102,AFG,Afghanistan
2318,Afghanistan,AFG,1972.0,1595555475.5555599,AFG,Afghanistan
2319,Afghanistan,AFG,1973.0,1733333264.4444401,AFG,Afghanistan
2320,Afghanistan,AFG,1974.0,2155555497.77778,AFG,Afghanistan
2321,Afghanistan,AFG,1975.0,2366666615.55556,AFG,Afghanistan
2322,Afghanistan,AFG,1976.0,2555555566.66667,AFG,Afghanistan
2323,Afghanistan,AFG,1977.0,2953333417.77778,AFG,Afghanistan
2324,Afghanistan,AFG,1978.0,3300000108.88889,AFG,Afghanistan
2325,Afghanistan,AFG,1979.0,3697940409.6109796,AFG,Afghanistan
2326,Afghanistan,AFG,1980.0,3641723321.99546,AFG,Afghanistan
2327,Afghanistan,AFG,1981.0,3478787909.09091,AFG,Afghanistan
2328,Afghanistan,AFG,2001.0,2461665937.8938603,AFG,Afghanistan
2329,Afghanistan,AFG,2002.0,4128820723.0471296,AFG,Afghanistan
2330,Afghanistan,AFG,2003.0,4583644246.48061,AFG,Afghanistan
2331,Afghanistan,AFG,2004.0,5285465685.86423,AFG,Afghanistan
2332,Afghanistan,AFG,2005.0,6275073571.54659,AFG,Afghanistan
2333,Afghanistan,AFG,2006.0,7057598406.61553,AFG,Afghanistan
2334,Afghanistan,AFG,2007.0,9843842455.48323,AFG,Afghanistan
2335,Afghanistan,AFG,2008.0,10190529882.4878,AFG,Afghanistan
2336,Afghanistan,AFG,2009.0,12486943505.7381,AFG,Afghanistan
2337,Afghanistan,AFG,2010.0,15936800636.2487,AFG,Afghanistan
2338,Afghanistan,AFG,2011.0,17930239399.8149,AFG,Afghanistan
2339,Afghanistan,AFG,2012.0,20536542736.7297,AFG,Afghanistan
2340,Afghanistan,AFG,2013.0,20046334303.9661,AFG,Afghanistan
2341,Afghanistan,AFG,2014.0,20050189881.6659,AFG,Afghanistan
2342,Afghanistan,AFG,2015.0,19215562179.0117,AFG,Afghanistan
2343,Afghanistan,AFG,2016.0,19469022207.6852,AFG,Afghanistan
2377,Algeria,DZA,1960.0,2723648551.75208,ALG,Algeria
2378,Algeria,DZA,1961.0,2434776645.73628,ALG,Algeria
2379,Algeria,DZA,1962.0,2001468867.73344,ALG,Algeria
2380,Algeria,DZA,1963.0,2703014867.32834,ALG,Algeria
2381,Algeria,DZA,1964.0,2909351792.58659,ALG,Algeria
2382,Algeria,DZA,1965.0,3136258896.9233,ALG,Algeria
2383,Algeria,DZA,1966.0,3039834558.74906,ALG,Algeria
2384,Algeria,DZA,1967.0,3370843065.76735,ALG,Algeria
2385,Algeria,DZA,1968.0,3852115816.9775796,ALG,Algeria
2386,Algeria,DZA,1969.0,4257218772.15369,ALG,Algeria
2387,Algeria,DZA,1970.0,4863487492.65763,ALG,Algeria
2388,Algeria,DZA,1971.0,5077222366.97472,ALG,Algeria
2389,Algeria,DZA,1972.0,6761786386.54713,ALG,Algeria
2390,Algeria,DZA,1973.0,8715105930.491009,ALG,Algeria
