Year,Country,City,Medal,Medal_Sum
1896,AUT,Athens,5,5
1896,GBR,Athens,7,7
1896,GER,Athens,33,33
1896,DEN,Athens,6,6
1896,GRE,Athens,52,52
1896,SUI,Athens,3,3
1896,HUN,Athens,6,6
1896,AUS,Athens,2,2
1896,ZZX,Athens,6,6
1896,USA,Athens,20,20
1896,FRA,Athens,11,11
1900,BOH,Paris,2,2
1900,CAN,Paris,2,2
1900,USA,Paris,55,75
1900,CUB,Paris,2,2
1900,AUS,Paris,5,7
1900,DEN,Paris,6,12
1900,BEL,Paris,39,39
1900,ESP,Paris,2,2
1900,SWE,Paris,1,1
1900,SUI,Paris,15,18
1900,FRA,Paris,185,196
1900,GBR,Paris,78,85
1900,GER,Paris,40,73
1900,NED,Paris,20,20
1900,NOR,Paris,9,9
1900,ZZX,Paris,34,40
1900,HUN,Paris,5,11
1900,AUT,Paris,6,11
1900,IND,Paris,2,2
1900,ITA,Paris,4,4
1904,AUT,St Louis,1,12
1904,USA,St Louis,394,469
1904,SUI,St Louis,2,20
1904,GRE,St Louis,2,54
1904,CUB,St Louis,9,11
1904,GER,St Louis,13,86
1904,GBR,St Louis,2,87
1904,CAN,St Louis,35,37
1904,HUN,St Louis,4,15
1904,ZZX,St Louis,8,48
1908,ITA,London,7,11
1908,FIN,London,29,29
1908,BEL,London,31,70
1908,NOR,London,44,53
1908,USA,London,63,532
1908,HUN,London,18,33
1908,AUT,London,1,13
1908,ANZ,London,19,19
1908,FRA,London,35,231
1908,BOH,London,5,7
1908,DEN,London,15,27
1908,GRE,London,3,57
1908,SWE,London,98,99
1908,GER,London,22,108
1908,RSA,London,2,2
1908,NED,London,11,31
1908,RU1,London,3,3
1908,GBR,London,347,434
1908,CAN,London,51,88
1912,CAN,Stockholm,8,96
1912,FIN,Stockholm,67,96
1912,USA,Stockholm,101,633
1912,BEL,Stockholm,19,89
1912,RU1,Stockholm,14,17
1912,HUN,Stockholm,30,63
1912,ANZ,Stockholm,10,29
1912,GER,Stockholm,52,160
1912,GBR,Stockholm,160,594
1912,GRE,Stockholm,2,59
1912,RSA,Stockholm,7,9
1912,FRA,Stockholm,25,256
1912,NOR,Stockholm,76,129
1912,AUT,Stockholm,14,27
1912,SWE,Stockholm,173,272
1912,DEN,Stockholm,84,111
1912,ITA,Stockholm,21,32
1912,NED,Stockholm,22,53
1920,NED,Antwerp,48,101
1920,GRE,Antwerp,5,64
1920,JPN,Antwerp,3,3
1920,BEL,Antwerp,188,277
1920,FRA,Antwerp,141,397
1920,NOR,Antwerp,141,270
1920,SWE,Antwerp,146,418
1920,ESP,Antwerp,24,26
1920,CAN,Antwerp,16,112
1920,LUX,Antwerp,1,1
1920,SUI,Antwerp,29,49
1920,BRA,Antwerp,7,7
1920,USA,Antwerp,193,826
